,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
1742,664236,Extinct,"Op and Ed, two adorable donut-shaped animals - flummels - accidentally time-travel from 1835 to modern-day Shanghai.  There they discover traffic, trans fats, and worst of all, that flummels are now extinct. It's up to this bumbling pair to save themselves and their species...and, just maybe, change the course of history.",31.437,"['Animation', 'Comedy', 'Family', 'Adventure']",2021-02-11,6.5,120,0
1743,5689,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",30.159,"['Romance', 'Adventure']",1980-07-05,6.1,1529,58853106
1744,1049450,Kasi,"A perfect wife, mother, and business owner battles a deep dark obsession that pushes her over the edge in this deadly recipe for murder",26.148,"['Thriller', 'Horror']",2022-12-01,0.0,0,0
1745,243683,Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",32.11,"['Romance', 'Drama', 'Music']",2014-07-16,6.8,1767,86165646
1746,50357,Apollo 18,"Officially, Apollo 17 was the last manned mission to the moon. But a year later in 1973, three American astronauts were sent on a secret mission to the moon funded by the US Department of Defense. What you are about to see is the actual footage which the astronauts captured on that mission. While NASA denies its authenticity, others say it's the real reason we've never gone back to the moon.",41.082,"['Horror', 'Thriller', 'Science Fiction']",2011-07-20,5.3,839,25562924
1747,855,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",31.252,"['Action', 'History', 'War']",2001-12-28,7.4,4806,172989651
1748,509635,Alone,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",31.173,"['Thriller', 'Horror']",2020-09-10,6.2,491,0
1749,10012,Cursed,"In Los Angeles, siblings Ellie and Jimmy come across an accident on Mulholland Drive. As they try to help the woman caught in the wreckage, a ferocious creature attacks them, devouring the woman and scratching the terrified siblings. They slowly discover that the creature was a werewolf and that they have fallen victim to a deadly curse.",24.9,"['Horror', 'Comedy']",2005-02-25,5.5,588,19294901
1750,152599,The Immigrant,1921 New York. An immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.,17.581,"['Drama', 'Romance']",2013-11-27,6.3,719,5867686
1751,333669,Bastille Day,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",30.148,['Action'],2016-04-22,6.3,1135,14397593
1752,1422,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",36.592,"['Drama', 'Thriller', 'Crime']",2006-10-04,8.2,12917,291465000
1753,392044,Murder on the Orient Express,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.,26.943,"['Drama', 'Mystery', 'Crime']",2017-11-03,6.7,8715,352794081
