,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
4159,11497,All Dogs Go to Heaven,"When a casino-owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven basically by default since all dogs go to heaven. However, since he wants to get back at his killer, he cons his way back to the living with the warning that doing that damns him to Hell. Once back, he teams with his old partner, Itchy, to prep his retaliation. He also stumbles onto an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares of what's waiting for him on the other side unless he can prove that he is worthy of Heaven again.",19.389,"['Drama', 'Animation', 'Family', 'Comedy', 'Fantasy']",1989-11-17,6.7,862,27100027
4160,9361,The Last of the Mohicans,"In war-torn colonial America, in the midst of a bloody battle between British, the French and Native American allies, the aristocratic daughter of a British Colonel and her party are captured by a group of Huron warriors. Fortunately, a group of three Mohican trappers comes to their rescue.",19.389,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",1992-08-26,7.4,2554,75505856
4161,19287,Leprechaun 4: In Space,"On a planet in a distant galaxy, a power hungry Leprechaun, holds a beautiful alien princess hostage in order to marry her for her royal title. With her title and his beloved gold, he'll be able to rule the universe. While making his maniacal plans, what he doesn't count on is an invading platoon of marines from Earth, to save the princess and foil his plans. An accomplished trickster, the Leprechaun stows himself away on the orbiting spaceship and wreaks havoc on the crew in an attempt to recapture his bride.",19.385,"['Comedy', 'Fantasy', 'Horror', 'Science Fiction']",1996-12-25,4.6,169,0
4162,635,Angel Heart,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",19.384,"['Horror', 'Mystery']",1987-03-06,7.1,1230,17186348
4163,13396,The Snowman,"A young boy makes a snowman one Christmas Eve, which comes to life at midnight and takes him on a magical adventure to the North Pole to meet Santa Claus.",19.383,"['Adventure', 'Animation', 'Family', 'Fantasy']",1982-12-26,7.6,246,0
4164,523077,Running with the Devil,A leader of a drug cartel sends his two toughest henchmen to investigate why a shipment was botched.,19.373,['Action'],2019-08-29,5.4,219,0
4165,2897,Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",19.369,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",1956-10-17,6.7,393,42000000
4166,71469,The Darkest Hour,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.",19.368,"['Horror', 'Action', 'Thriller', 'Science Fiction']",2011-12-22,5.3,1241,64626786
4167,334,Magnolia,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",19.367,['Drama'],1999-12-10,7.7,2957,48451803
4168,414419,Kill Bill: The Whole Bloody Affair,"An assassin is shot and almost killed by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.  Kill Bill: The Whole Bloody Affair is a complete edit of the two-part martial arts action films Kill Bill: Vol. 1 and Kill Bill: Vol. 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts.",19.366,"['Action', 'Crime', 'Thriller']",2011-03-27,7.9,810,0
4169,454227,Outlaw King,"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.",19.352,"['Action', 'History', 'Drama', 'War']",2018-09-06,6.8,1310,0
4170,631947,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse.",19.348,"['Horror', 'Thriller']",2022-01-07,4.8,34,0
4171,340676,Personal Shopper,"Maureen, mid-20s, is a personal shopper for a media celebrity. The job pays for her stay in Paris, a city she refuses to leave until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.",19.344,"['Drama', 'Mystery', 'Thriller']",2016-10-19,5.9,1055,1305195
4172,753926,Toys of Terror,"A big family moves into a dusty old house in the snowy woods of Washington with hopes of it being a nice holiday escape. But the kids soon discover a stash of old toys that just so happen to belong to a creepy ghost boy. As stranger and stranger things start to happen, some of the kids begin to sense that something in the house is not quite right…",19.342,['Horror'],2021-12-02,6.4,13,0
4173,184125,Assault on Wall Street,"Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose everything. Filled with anger and rage, Jim snaps and goes to extreme lengths to seek revenge for the life taken from him.",19.34,"['Drama', 'Thriller', 'Action']",2013-06-30,5.8,398,0
4174,13121,Teeth,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",19.34,"['Comedy', 'Horror']",2007-06-17,5.3,598,2340110
4175,174751,Jane Got a Gun,"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",19.331,"['Western', 'Action', 'Drama']",2015-12-31,5.8,720,1397284
4176,411728,The Professor and the Madman,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",19.328,"['History', 'Drama', 'Mystery', 'Thriller']",2019-03-07,7.2,928,4957273
4177,874300,South Park: Post COVID: The Return of COVID,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.",19.326,"['Animation', 'Comedy', 'TV Movie']",2021-12-16,7.4,246,0
4178,12225,Cashback,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",19.326,"['Drama', 'Comedy', 'Romance']",2006-05-09,7.0,1028,2294291
4179,8963,Crimson Tide,"After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsay insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him.",19.326,"['Thriller', 'Drama', 'Action']",1995-05-12,7.2,1431,157387195
4180,6878,Homeward Bound: The Incredible Journey,"Remake of the popular Disney classic, this time featuring some well known voices as two dogs and a cat trek across America encountering all sorts of adventures in the quest to be reunited with their owners.",19.321,"['Adventure', 'Comedy', 'Drama', 'Family']",1993-02-03,6.9,851,0
